"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 205, 0, 0, 3, 11, 219
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\dashboard\settings\page.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\global-error.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 4, 20
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\globals.css", "CSS", 0, 0, 0, 53, 0, 1, 7, 61
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\layout.tsx", "TypeScript JSX", 0, 0, 49, 0, 0, 0, 4, 53
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 2, 27
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\page.tsx", "TypeScript JSX", 0, 0, 216, 0, 0, 0, 4, 220
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\product-roadmap\page.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 3, 60
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\sitemap.ts", "TypeScript", 0, 99, 0, 0, 0, 1, 4, 104
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\courses\[courseId]\page.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 0, 10, 92
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\courses\page.tsx", "TypeScript JSX", 0, 0, 68, 0, 0, 0, 6, 74
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\endgames\page.tsx", "TypeScript JSX", 0, 0, 95, 0, 0, 0, 3, 98
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\endgames\train\page.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\knight-vision\page.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 3, 43
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\page.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\tactics\[setId]\page.tsx", "TypeScript JSX", 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\tactics\list\page.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\tactics\page.tsx", "TypeScript JSX", 0, 0, 89, 0, 0, 0, 3, 92
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\visualisation\page.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\user\Documents\Programming\chess-trainer-2\src\env.js", "JavaScript", 58, 0, 0, 0, 0, 24, 4, 86
"c:\Users\user\Documents\Programming\chess-trainer-2\src\middleware.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\user\Documents\Programming\chess-trainer-2\src\server\db.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 5, 16
"Total", "-", 58, 7096, 7560, 53, 16, 186, 804, 15773
